feedback,feedback ID,user ID,topic,timestamp
The online lectures were clear and helped me understand the key concepts.,FB001,U001,Course Feedback,2026-09-15T09:10:00Z
2 hours is not enough for a full lecture,FB002,U002,Course Feedback,2026-09-15T10:25:00Z
"The module was easy to navigate, and I always knew where to find the next activity.",FB003,U003,Course Feedback,2026-09-16T08:40:00Z
The lectures were too short,FB004,U004,Course Feedback,2026-09-16T11:15:00Z
The videos explained the difficult ideas in a way that was easy to follow.,FB005,U005,Course Feedback,2026-09-17T09:30:00Z
Having the work divided into smaller weekly pieces made it much less overwhelming.,FB006,U006,Course Feedback,2026-09-17T14:05:00Z
It is difficult to navigate through the school site,FB007,U007,Course Feedback,2026-09-18T10:20:00Z
Having the work divided into smaller weekly pieces made it much less overwhelming.,FB008,U008,Course Feedback,2026-09-18T15:45:00Z
@#$%^&*()_+=?><~`|{}[],FB009,U009,Course Feedback,2026-09-19T12:00:00Z
eht noitacilppa saw ysae ot esu dna eht snoitcurtsni erew raelc,FB010,U010,Course Feedback,2026-09-19T16:30:00Z
